,date,time,Vctrl,stretchAmt,stretchAngle,AmtFreq1,Freq1,errFreq1,AmtAmp1,Amp1,errAmp1,AmtFreq2,Freq2,errFreq2,AmtAmp2,Amp2,errAmp2,VDD_VCO1_shunt,VDD_driver_shunt,VDD,VDD_VCO2_shunt,VDD_ring_shunt,strain_1,strain_2,strain_3,temp,V_diode_shunt,V_diode,VDD_VCO1_amps,VDD_VCO2_amps,VDD_driver_amps,VDD_ring_amps,Diode_amps,angle,strain
561,5/2/2023,11:58 AM,0.2,0.0,45.0,512.0,534381200.0,2226900.0,512.0,0.0551151,0.0014211,512,540482000.0,1949400.0,512,0.0534509,0.0011402,0.0389063,0.022643418,1.1957085,0.038936749,0.000175301,350.74429,350.98493,350.59028,23.867,-1.957e-06,-0.65873887,0.0007409312511902,0.0007447733167559,0.0039586395104895,1.779705583756345e-07,-1.955044955044955e-09,-5.134285596844033,0.00031866484106663764
562,5/2/2023,11:59 AM,0.3,0.0,45.0,512.0,603297100.0,3026400.0,512.0,0.0572476,0.0011682,512,592155500.0,2452600.0,512,0.0551459,0.0011859,0.038984489,0.022699097,1.1956759,0.039296811,0.000204554,350.74643,350.98279,350.59028,23.904,-1.631e-06,-0.47286531,0.000742420281851,0.0007516605011476,0.0039683736013986,2.0766903553299493e-07,-1.6293706293706291e-09,-5.189649182651192,0.00031588600873639814
563,5/2/2023,11:59 AM,0.4,0.0,45.0,512.0,665373200.0,3280900.0,512.0,0.0591021,0.0017758,512,640464500.0,2479400.0,512,0.0540475,0.0013338,0.0383755,0.021722976,1.1960449,0.038878678,0.000201074,350.74536,350.98279,350.59028,23.789,-2.501e-06,-0.28730308,0.000730822700438,0.0007436625478194,0.003797723076923,2.0413604060913706e-07,-2.4985014985014983e-09,-5.251749516848956,0.00031600224335364465
564,5/2/2023,12:00 PM,0.5,0.0,45.0,512.0,716709600.0,3548200.0,512.0,0.0628137,0.002194,512,685807500.0,3038100.0,512,0.0592896,0.0011791,0.037851555,0.020433013,1.1960775,0.038385723,0.000186284,350.74964,350.98707,350.59135,24.178,-3.371e-06,-0.10152024,0.0007208446962483,0.0007342334162203,0.00357220506993,1.891208121827411e-07,-3.3676323676323674e-09,-4.794483443057995,0.00032091278979578045
565,5/2/2023,12:00 PM,0.6,0.0,45.0,512.0,762896900.0,4498500.0,512.0,0.0596602,0.0010565,512,729468900.0,3200700.0,512,0.0568281,0.0013545,0.037831437,0.020467269,1.1961861,0.038689345,0.000188459,350.7475,350.986,350.59242,24.065,-2.175e-06,0.085508593,0.0007204615692249,0.0007400410290742,0.0035781938811188,1.913289340101523e-07,-2.172827172827173e-09,-5.162077103949542,0.0003201004016073692
566,5/2/2023,12:00 PM,0.7,0.0,45.0,512.0,805238300.0,5209800.0,512.0,0.0573525,0.001658,512,769046900.0,4385000.0,512,0.0559391,0.001025,0.038206181,0.022030735,1.1959255,0.038492621,0.000193353,350.74857,350.98493,350.59242,24.068,-2.61e-06,0.26937381,0.0007275981908207,0.0007362781369548,0.003851527097902,1.9629746192893402e-07,-2.6073926073926075e-09,-5.1899068068723935,0.00031871111012331954
567,5/2/2023,12:01 PM,0.8,0.0,45.0,512.0,833178300.0,5155300.0,512.0,0.049422,0.0023053,512,800011500.0,4413100.0,512,0.0542302,0.001795,0.038497406,0.023083411,1.1955456,0.038770906,0.000202379,350.75071,350.98921,350.59349,24.336,1.0983e-05,0.45535356,0.0007331442772805,0.0007416011094108,0.0040355613636363,2.0546091370558378e-07,1.0972027972027972e-08,-4.858058096028606,0.0003238462221190537
568,5/2/2023,12:01 PM,0.9,0.0,45.0,512.0,837981300.0,5351400.0,512.0,0.0492451,0.0014905,512,811748900.0,4078000.0,512,0.0500958,0.0021292,0.040319148,0.023409544,1.1954479,0.040725211,0.000225433,350.75071,350.98921,350.59349,24.312,0.010780686,0.63188215,0.0007678375166634,0.0007789826128538,0.0040925776223776,2.2886598984771573e-07,1.0769916083916085e-05,-4.858058096028606,0.0003238462221190537
569,5/2/2023,12:02 PM,1.0,0.0,45.0,512.0,835330400.0,4964900.0,512.0,0.0490882,0.0018677,512,811289500.0,4065700.0,512,0.0499176,0.0022055,0.046257316,0.02415925,1.1952309,0.046673927,0.000243703,350.75284,350.98707,350.59456,24.452,0.15221257,0.67713939,0.0008809239382974,0.0008927683052792,0.0042236451048951,2.474142131979696e-07,0.0001520605094905,-5.0653771622866985,0.00032130849073610135
570,5/2/2023,12:02 PM,1.1,0.0,45.0,512.0,834550300.0,5216000.0,512.0,0.0488759,0.0018131,512,812324900.0,3908600.0,512,0.049612,0.0019585,0.047151219,0.024287572,1.1954371,0.047556958,0.000230979,350.75071,350.98921,350.59242,24.324,0.32988216,0.68426607,0.0008979474195391,0.0009096587222647,0.004246079020979,2.3449644670050762e-07,0.0003295526073926,-4.705435498773206,0.0003236114195261048
571,5/2/2023,12:03 PM,1.2,0.0,45.0,512.0,841875600.0,5173300.0,512.0,0.0494877,0.0011404,512,820202000.0,3748900.0,512,0.0492292,0.0012576,0.038750027,0.02328318,1.1955456,0.039289199,0.000209991,350.75071,350.986,350.59242,24.193,0.50869181,0.69169131,0.0007379551894877,0.0007515149005355,0.004070486013986,2.1318883248730966e-07,0.0005081836263736,-4.974158294810062,0.000319760768607256
572,5/2/2023,12:13 PM,0.0,0.0,60.0,512.0,430625200.0,1393500.0,512.0,0.0614596,0.0011142,512,438260000.0,1333400.0,512,0.0601093,0.0014577,0.043008044,0.020367874,1.1960884,0.042846552,0.00017193,350.83627,350.92076,350.51862,24.36,-2.501e-06,-1.0300997,0.0008190448295562,0.0008195591430757,0.0035608171328671,1.745482233502538e-07,-2.4985014985014983e-09,11.442236555206204,0.00024309914609941472
573,5/2/2023,12:14 PM,0.1,0.0,60.0,512.0,474384400.0,1938000.0,512.0,0.0616507,0.000964597,512,487886200.0,1631900.0,512,0.0596371,0.00158,0.038261207,0.021596938,1.1961535,0.038278607,0.000169646,350.83734,350.92183,350.51862,24.433,-2.175e-06,-0.84423647,0.0007286461055037,0.0007321845256312,0.0037756884615384,1.722294416243655e-07,-2.172827172827173e-09,11.661120825863186,0.00024506552188587787
574,5/2/2023,12:14 PM,0.2,0.0,60.0,512.0,533273100.0,2309900.0,512.0,0.0545886,0.0014571,512,539579000.0,1917100.0,512,0.0534423,0.0011705,0.039020919,0.022586434,1.1959581,0.039052891,0.000184544,350.83734,350.92183,350.52076,24.469,-2.827e-06,-0.6586759,0.0007431140544658,0.0007469948546289,0.0039486772727272,1.8735431472081217e-07,-2.824175824175824e-09,11.221499955211874,0.00024396640306066032
575,5/2/2023,12:15 PM,0.3,0.0,60.0,512.0,601820200.0,3048900.0,512.0,0.0566363,0.0011598,512,591175900.0,2500800.0,512,0.0549784,0.0011594,0.039119444,0.022678543,1.1957736,0.039376415,0.000200965,350.83306,350.92183,350.52076,24.314,-2.936e-06,-0.47291742,0.0007449903637402,0.0007531831484315,0.0039647802447552,2.040253807106599e-07,-2.933066933066933e-09,10.60267114697769,0.00024271449792155028
576,5/2/2023,12:15 PM,0.4,0.0,60.0,512.0,663976400.0,3269100.0,512.0,0.059008,0.0017454,512,639324900.0,2346700.0,512,0.0540354,0.0012953,0.038446948,0.021730697,1.1960015,0.038986555,0.000205424,350.8352,350.92183,350.51969,24.268,-1.849e-06,-0.28697411,0.0007321833555513,0.0007457259946442,0.0037990729020979,2.085522842639594e-07,-1.847152847152847e-09,11.131162662488244,0.00024386092045836685
577,5/2/2023,12:16 PM,0.5,0.0,60.0,512.0,714994500.0,3503200.0,512.0,0.0619487,0.001864,512,684515500.0,3157600.0,512,0.0591593,0.0011585,0.037921806,0.020425401,1.1963163,0.038426286,0.000177802,350.83627,350.9261,350.52183,24.388,-2.392e-06,-0.10080801,0.0007221825557036,0.0007350092960979,0.0035708743006993,1.805096446700508e-07,-2.3896103896103903e-09,11.105478395504859,0.00024960386716851813
578,5/2/2023,12:16 PM,0.6,0.0,60.0,512.0,760824400.0,4271200.0,512.0,0.0597154,0.0010304,512,728066000.0,3107500.0,512,0.0568239,0.0014025,0.037818061,0.020469661,1.1959907,0.038674882,0.000195854,350.83627,350.92397,350.52183,24.316,-2.501e-06,0.085250427,0.0007202068367929,0.0007397643840856,0.003578612062937,1.9883654822335025e-07,-2.4985014985014983e-09,10.976354606785215,0.00024636705649729355
579,5/2/2023,12:16 PM,0.7,0.0,60.0,512.0,803878500.0,5107100.0,512.0,0.0568851,0.0020408,512,767507900.0,4149500.0,512,0.0560111,0.0010303,0.03820281,0.021919265,1.1956976,0.038478593,0.000237722,350.8352,350.9229,350.52076,24.412,-1.957e-06,0.2704009,0.000727533993525,0.0007360098125478,0.0038320393356643,2.413421319796954e-07,-1.955044955044955e-09,10.976567994623082,0.0002449552146510901
580,5/2/2023,12:17 PM,0.8,0.0,60.0,512.0,831617400.0,4947900.0,512.0,0.0494917,0.0016671,512,798300400.0,4475800.0,512,0.0544597,0.0016784,0.03855178,0.023018705,1.1956867,0.038764925,0.000197159,350.83627,350.92397,350.5229,24.383,1.1418e-05,0.45636871,0.0007341797752808,0.0007414867061973,0.0040242491258741,2.0016142131979693e-07,1.1406593406593406e-08,10.7558747234857,0.00024584376116419015
581,5/2/2023,12:17 PM,0.9,0.0,60.0,512.0,836356500.0,5107700.0,512.0,0.0494127,0.0012763,512,810070300.0,4029000.0,512,0.0507284,0.0022374,0.04040234,0.023353322,1.1954914,0.040827868,0.000218691,350.83627,350.92397,350.52183,24.335,0.011049292,0.63175187,0.0007694218244143,0.0007809462127008,0.0040827486013986,2.2202131979695434e-07,1.1038253746253749e-05,10.976354606785215,0.00024636705649729355
582,5/2/2023,12:18 PM,1.0,0.0,60.0,512.0,833148900.0,5173800.0,512.0,0.0492095,0.0013997,512,809902300.0,3934300.0,512,0.050807,0.0021235,0.046281566,0.024108138,1.1955891,0.046692305,0.000241093,350.83734,350.92397,350.52397,24.369,0.15199108,0.67692333,0.0008813857550942,0.0008931198355011,0.0042147094405594,2.4476446700507614e-07,0.0001518392407592,10.688348307928264,0.00024563399720504964
583,5/2/2023,12:18 PM,1.1,0.0,60.0,512.0,832875200.0,5062700.0,512.0,0.0491678,0.0014651,512,810701600.0,3815300.0,512,0.0499157,0.0019172,0.047138713,0.024230914,1.1953503,0.047496277,0.000219996,350.83306,350.92503,350.52397,24.168,0.33014381,0.68428345,0.0008977092553799,0.0009084980298393,0.0042361737762237,2.2334619289340107e-07,0.0003298139960039,10.144839266096277,0.0002460475579082091
584,5/2/2023,12:19 PM,1.2,0.0,60.0,512.0,840252300.0,5203400.0,512.0,0.0494611,0.0010415,512,818540500.0,3763300.0,512,0.0494987,0.0012623,0.038684234,0.02320586,1.1955348,0.039316712,0.000189329,350.83413,350.92503,350.52504,24.139,0.50841929,0.69143833,0.000736702228147,0.0007520411629686,0.0040569685314685,1.9221218274111677e-07,0.0005079113786213,10.074699250374334,0.00024584656052328114
585,5/2/2023,12:19 PM,0.0,2e-05,60.0,512.0,430752500.0,1426400.0,512.0,0.061582,0.0010707,512,437928600.0,1312700.0,512,0.0601243,0.0015345,0.042886245,0.02035689,1.1961426,0.042705072,0.000184218,350.72611,350.8876,350.37745,24.081,-2.392e-06,-1.030306,0.0008167252904208,0.0008168529456771,0.0035588968531468,1.870233502538071e-07,-2.3896103896103903e-09,18.659499144746636,0.00023929343732889197
586,5/2/2023,12:20 PM,0.1,2e-05,60.0,512.0,474307400.0,2020500.0,512.0,0.0616968,0.0009791888,512,487447100.0,1703100.0,512,0.0595762,0.0015366,0.038191391,0.021587803,1.1961101,0.03818106,0.000179216,350.72825,350.88974,350.37638,24.297,-2.719e-06,-0.84432224,0.0007273165301847,0.0007303186687069,0.0037740914335664,1.819451776649746e-07,-2.716283716283716e-09,19.026487787794,0.00024470844010726406
